Tid	Kanal A
(ms)	(V)

45.49999885	2.71868800
45.54999885	2.62487700
45.59999885	2.71868800
45.64999885	2.62487700
45.69999885	2.62487700
45.74999884	2.62487700
45.79999884	2.62487700
45.84999884	2.62487700
45.89999884	2.71868800
45.94999884	2.71868800
45.99999884	2.71868800
46.04999884	2.62487700
46.09999884	2.71868800
46.14999883	2.71868800
46.19999883	2.62487700
46.24999883	2.62487700
46.29999883	2.62487700
46.34999883	2.62487700
46.39999883	2.71868800
46.44999883	2.62487700
46.49999883	2.62487700
46.54999882	2.62487700
46.59999882	2.62487700
46.64999882	2.62487700
46.69999882	2.71868800
46.74999882	2.62487700
46.79999882	2.62487700
46.84999882	2.62487700
46.89999882	2.62487700
46.94999881	2.62487700
46.99999881	2.62487700
47.04999881	2.71868800
47.09999881	2.71868800
47.14999881	2.62487700
47.19999881	2.62487700
47.24999881	2.71868800
47.29999881	2.62487700
47.34999880	2.71868800
47.39999880	2.71868800
47.44999880	2.71868800
47.49999880	2.71868800
47.54999880	2.62487700
47.59999880	2.62487700
47.64999880	2.71868800
47.69999879	2.62487700
47.74999879	2.71868800
47.79999879	2.62487700
47.84999879	2.71868800
47.89999879	2.71868800
47.94999879	2.71868800
47.99999879	2.71868800
48.04999879	2.71868800
48.09999878	2.62487700
48.14999878	2.62487700
48.19999878	2.62487700
48.24999878	2.62487700
48.29999878	2.71868800
48.34999878	2.71868800
48.39999878	2.62487700
48.44999878	2.62487700
48.49999877	2.71868800
48.54999877	2.71868800
48.59999877	2.62487700
48.64999877	2.71868800
48.69999877	2.62487700
48.74999877	2.71868800
48.79999877	2.62487700
48.84999877	2.62487700
48.89999876	2.62487700
48.94999876	2.62487700
48.99999876	2.71868800
49.04999876	2.62487700
49.09999876	2.62487700
49.14999876	2.62487700
49.19999876	2.62487700
49.24999876	2.71868800
49.29999875	2.62487700
49.34999875	2.62487700
49.39999875	2.62487700
49.44999875	2.62487700
49.49999875	2.62487700
49.54999875	2.62487700
49.59999875	2.62487700
49.64999875	2.62487700
49.69999874	2.71868800
49.74999874	2.62487700
49.79999874	2.71868800
49.84999874	2.71868800
49.89999874	2.62487700
49.94999874	2.62487700
49.99999874	2.62487700
50.04999874	2.62487700
50.09999873	2.62487700
50.14999873	2.62487700
